,Name,Arts and Humanities 2025,Business and Economics 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Geo,Industry,International Outlook,Law 2025,Life Sciences 2025,Medical and Health 2025,Overall,Physical Sciences 2025,Rank,Research Environment,Research Quality,Social Sciences 2025,Teaching,URL,World University Rankings 2026,Arts and Humanities,Business and Economics,Computer Science,Education Studies,Engineering,Law,Life Sciences,Medical and Health,Physical Sciences,Psychology,Social Sciences,Female_share,Male_share,International students,No. of FTE students,No. of students per staff,country,town,Overall_num
2553,Malawi University of Science and Technology (MUST),,,,,,"Limbe, Malawi",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/malawi-university-science-and-technology-must,,"Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Geography",,,,,,Malawi,Limbe,
2554,Mangalayatan University Jabalpur,,,,,,"Jabalpur, India",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mangalayatan-university-jabalpur,,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,General Engineering,Law,Agriculture and Forestry,Other Health,,Psychology,,,,,,,India,Jabalpur,
2555,Manila Central University,,,,,,"Caloocan, Philippines",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/manila-central-university,,,"Accounting and Finance, Business and Management",Computer Science,Education,,,Biological Sciences,"Medicine and Dentistry, Other Health",,Psychology,,,,,,,Philippines,Caloocan,
2556,Mansoura National University,,,,,,"Gamasa City, Egypt",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mansoura-national-university,,Architecture,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",,,,,,,,Egypt,Gamasa City,
2557,Mapúa Malayan Colleges Laguna,,,,,,,,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mapua-malayan-colleges-laguna,,,,,,,,,,,,,,,,,,nan,nan,
2558,Mardin Artuklu University,,,,,,"Mardin, Türkiye",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mardin-artuklu-university,,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,,,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",,,,,,Türkiye,Mardin,
2559,Marinduque State University,,,,,,"Boac, Philippines",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/marinduque-state-university,,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Agriculture and Forestry,Medicine and Dentistry,,,"Communication and Media Studies, Politics and International Studies",,,,,,Philippines,Boac,
2560,Maritime University of Szczecin,,,,,,"Szczecin, Poland",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/maritime-university-szczecin,,,Business and Management,Computer Science,,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,,,,,,,,,Poland,Szczecin,
2561,Marwadi University,,,,,,"Gujarat, India",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/marwadi-university,,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health",Chemistry,,,,,,,,India,Gujarat,
2562,Maryam Abacha American University of Niger,,,,,,"Maradi, Niger",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/maryam-abacha-american-university-niger,,"Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,,,,Niger,Maradi,
2563,Maryam Abacha American University of Nigeria,,,,,,"Kano, Nigeria",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/maryam-abacha-american-university-nigeria,,"Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",,,,,,Nigeria,Kano,
2564,Medizinische Hochschule Hannover,,,,,,"Hannover, Germany",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/medizinische-hochschule-hannover,,,,,,,,,"Medicine and Dentistry, Other Health",,,,,,,,,Germany,Hannover,
2565,Meikai University,,,,,,"Urayasu-City, Japan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/meikai-university,,,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,,Law,,"Medicine and Dentistry, Other Health",,,"Communication and Media Studies, Politics and International Studies, Sociology",,,,,,Japan,Urayasu-City,
2566,Menoufia National University,,,,,,"Cairo, Egypt",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/menoufia-national-university,,"Languages, Literature and Linguistics",,Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",,,,,,,,Egypt,Cairo,
2567,Metropolitan International University,,,,,,"Kisoro Municipality, Uganda",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/metropolitan-international-university,,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,,,,Uganda,Kisoro Municipality,
2568,Middle East College,,,,,,"Muscat, Oman",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/middle-east-college,,"Art, Performing Art and Design",Business and Management,,,,,,,,,,,,,,,Oman,Muscat,
2569,Middle East University,,,,,,"Amman, Jordan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/middle-east-university,,"Architecture, Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering",Law,Sport Science,Other Health,,,Communication and Media Studies,,,,,,Jordan,Amman,
2570,Middle East University – Lebanon,,,,,,"Beirut, Lebanon",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/middle-east-university-lebanon,,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,,,Biological Sciences,,,,,,,,,,Lebanon,Beirut,
2571,Midocean University,,,,,,"Moroni, Comoros",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/midocean-university,,,"Accounting and Finance, Business and Management",Computer Science,Education,,Law,,,,,Communication and Media Studies,,,,,,Comoros,Moroni,
2572,Mingachevir State University (MSU),,,,,,Azerbaijan,,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mingachevir-state-university-msu,,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,"Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",,,,,,,,Azerbaijan,Azerbaijan,
2573,Minhaj University Lahore,,,,,,"Lahore, Pakistan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/minhaj-university-lahore,,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Electrical and Electronic Engineering",Law,"Agriculture and Forestry, Biological Sciences",Other Health,"Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",,,,,,Pakistan,Lahore,
2574,Misurata University,,,,,,"Misrata, Libya",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/misurata-university,,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,,,,Libya,Misrata,
2575,"MIT Art, Design and Technology University",,,,,,"Pune, India",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mit-art-design-and-technology-university,,"Architecture, Art, Performing Art and Design","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,,Mathematics and Statistics,Psychology,,,,,,,India,Pune,
2576,Modern University for Business and Science,,,,,,"Beirut, Lebanon",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/modern-university-business-and-science,,"Art, Performing Art and Design","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,,,,Other Health,,,,,,,,,Lebanon,Beirut,
2577,Modulo University Center,,,,,,"Caraguatatuba, Brazil",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/modulo-university-center,,Architecture,"Accounting and Finance, Business and Management",Computer Science,Education,Civil Engineering,Law,"Biological Sciences, Sport Science",Other Health,,Psychology,,,,,,,Brazil,Caraguatatuba,
2578,Mohammad Ali Jinnah University,,,,,,"Karachi, Pakistan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mohammad-ali-jinnah-university,,,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,Electrical and Electronic Engineering,,Biological Sciences,,Mathematics and Statistics,Psychology,,,,,,,Pakistan,Karachi,
2579,Mohammed VI University of Sciences and Health,,,,,,"Casablanca, Morocco",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mohammed-vi-university-sciences-and-health,,,Business and Management,Computer Science,,General Engineering,,"Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health",,,,,,,,,Morocco,Casablanca,
2580,Mount Kenya University,,,,,,"Thika, Kenya",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mount-kenya-university,,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Electrical and Electronic Engineering, General Engineering",Law,"Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",Psychology,"Communication and Media Studies, Geography, Politics and International Studies",,,,,,Kenya,Thika,
2581,Muban Chombueng Rajabhat University,,,,,,"Chom Bueng District, Thailand",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/muban-chombueng-rajabhat-university,,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,,Law,"Agriculture and Forestry, Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Politics and International Studies, Sociology",,,,,,Thailand,Chom Bueng District,
2582,Muhammadiyah University of Makassar,,,,,,"Makassar, Indonesia",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/muhammadiyah-university-makassar,,Architecture,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering",Law,Agriculture and Forestry,"Medicine and Dentistry, Other Health",,,"Communication and Media Studies, Politics and International Studies",,,,,,Indonesia,Makassar,
2583,Muhammadiyah University of North Sumatra,,,,,,"Medan, Indonesia",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/muhammadiyah-university-north-sumatra,,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences",Medicine and Dentistry,"Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Politics and International Studies",,,,,,Indonesia,Medan,
2584,Muhammadiyah University of Sidoarjo,,,,,,"Sidoarjo, Indonesia",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/muhammadiyah-university-sidoarjo,,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Agriculture and Forestry,"Medicine and Dentistry, Other Health",,Psychology,Communication and Media Studies,,,,,,Indonesia,Sidoarjo,
2585,"Muhammad Nawaz Sharif University of Engineering & Technology, Multan",,,,,,"Multan, Pakistan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/muhammad-nawaz-sharif-university-engineering-technology-multan,,,Business and Management,Computer Science,,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",,,,,,,,Pakistan,Multan,
2586,Mukogawa Women’s University,,,,,,"Nishinomiya, Japan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mukogawa-womens-university,,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, General Engineering",,"Agriculture and Forestry, Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,,,,Japan,Nishinomiya,
2587,Mulungushi University,,,,,,"Kabwe, Zambia",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/mulungushi-university,,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,,,,Zambia,Kabwe,
2588,Murang'a University of Technology,,,,,,"Muranga, Kenya",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/muranga-university-technology,,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,,,,Kenya,Muranga,
2589,Musashino University,,,,,,"Tokyo, Japan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/musashino-university,,"Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Electrical and Electronic Engineering, General Engineering",Law,,Medicine and Dentistry,"Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,"Communication and Media Studies, Politics and International Studies",,,,,,Japan,Tokyo,
2590,Myrat Garryyev State Medical University of Turkmenistan,,,,,,"Ashgabat, Turkmenistan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/myrat-garryyev-state-medical-university-turkmenistan,,"History, Philosophy and Theology, Languages, Literature and Linguistics",,Computer Science,,,,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences",Psychology,Sociology,,,,,,Turkmenistan,Ashgabat,
2591,Nahdlatul Ulama University Surabaya,,,,,,"Surabaya, Indonesia",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/nahdlatul-ulama-university-surabaya,,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,,,,"Medicine and Dentistry, Other Health",,,,,,,,,Indonesia,Surabaya,
2592,Nakhon Ratchasima Rajabhat University,,,,,,"Mueang Nakhon Ratchasima, Thailand",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/nakhon-ratchasima-rajabhat-university,,"Architecture, Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Politics and International Studies, Sociology",,,,,,Thailand,Mueang Nakhon Ratchasima,
2593,Namangan State Pedagogical Institute,,,,,,"Namangan, Uzbekistan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/namangan-state-pedagogical-institute,,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics",,Computer Science,Education,,,Sport Science,,"Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Geography, Sociology",,,,,,Uzbekistan,Namangan,
2594,Namangan State Technical University,,,,,,"Namangan City, Uzbekistan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/namangan-state-technical-university,,,"Business and Management, Economics and Econometrics",Computer Science,,"Civil Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,,,,,,,,,Uzbekistan,Namangan City,
2595,Narxoz University,,,,,,"ALA, Kazakhstan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/narxoz-university,,,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,,Law,Agriculture and Forestry,,Mathematics and Statistics,Psychology,"Politics and International Studies, Sociology",,,,,,Kazakhstan,ALA,
2596,"Nasarawa State University, Keffi",,,,,,"Keffi, Nigeria",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/nasarawa-state-university-keffi,,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering",Law,Agriculture and Forestry,Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,,,,Nigeria,Keffi,
2597,National Defence University - Pakistan,,,,,,"Islamabad, Pakistan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-defence-university-pakistan,,,"Business and Management, Economics and Econometrics",,,,,,,,,Politics and International Studies,,,,,,Pakistan,Islamabad,
2598,National Film and Television School,,,,,,"Beaconsfield, United Kingdom",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-film-and-television-school,,"Art, Performing Art and Design",Business and Management,,,,,,,,,,,,,,,United Kingdom,Beaconsfield,
2599,National Polytechnic University of Armenia,,,,,,"Yerevan, Armenia",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-polytechnic-university-armenia,,"Art, Performing Art and Design","Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,,,,,,,,,Armenia,Yerevan,
2600,National School of Artificial Intelligence (ENSIA),,,,,,"Sidi Abdellah, Algeria",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-school-artificial-intelligence-ensia,,,,Computer Science,,,,,,,,,,,,,,Algeria,Sidi Abdellah,
2601,National Taichung University of Education,,,,,,Taiwan,,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-taichung-university-education,,"Art, Performing Art and Design, Languages, Literature and Linguistics",Business and Management,Computer Science,Education,,,Sport Science,,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,Sociology,,,,,,Taiwan,Taiwan,
2602,National Transport University,,,,,,"Kyiv, Ukraine",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-transport-university,,"Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,,,,Psychology,Communication and Media Studies,,,,,,Ukraine,Kyiv,
2603,National University Odessa Law Academy,,,,,,"Odessa, Ukraine",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-odessa-law-academy,,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,Electrical and Electronic Engineering,Law,,,,Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",,,,,,Ukraine,Odessa,
2604,National University of Education (UNAE),,,,,,,,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-educationunae,,,,,,,,,,,,,,,,,,nan,nan,
2605,National University of Food Technologies,,,,,,"Kyiv, Ukraine",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-food-technologies,,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Electrical and Electronic Engineering, General Engineering",,"Biological Sciences, Sport Science",,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Geography, Sociology",,,,,,Ukraine,Kyiv,
2606,National University of Loja,,,,,,"La Argelia, Ecuador",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-loja,,"Art, Performing Art and Design","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health","Geology, Environmental, Earth and Marine Sciences",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",,,,,,Ecuador,La Argelia,
2607,National University of Modern Languages (NUML),,,,,,"Islamabad, Pakistan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-modern-languages-numl,,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,Electrical and Electronic Engineering,,,,Mathematics and Statistics,Psychology,"Communication and Media Studies, Politics and International Studies",,,,,,Pakistan,Islamabad,
2608,National University of Pharmacy,,,,,,"Kharkiv, Ukraine",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-pharmacy,,,,,,,,,Other Health,,,,,,,,,Ukraine,Kharkiv,
2609,National University of Science and Technology (Iraq),,,,,,"Dhi-Qar, Iraq",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-science-and-technology-iraq,,,"Accounting and Finance, Business and Management",Computer Science,Education,General Engineering,,,"Medicine and Dentistry, Other Health",,,,,,,,,Iraq,Dhi-Qar,
2610,National University of Science and Technology (NUST),,,,,,"Bulawayo, Zimbabwe",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-science-and-technology-nust,,Architecture,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Politics and International Studies",,,,,,Zimbabwe,Bulawayo,
2611,"National University of Science and Technology, Oman",,,,,,"Bawshar, Oman",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-science-and-technology-oman,,,,,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",,,"Medicine and Dentistry, Other Health","Geology, Environmental, Earth and Marine Sciences",,,,,,,,Oman,Bawshar,
2612,National University of Technology,,,,,,"Islamabad, Pakistan",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-technology,,,,Computer Science,,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,,,,,,,,,Pakistan,Islamabad,
2613,National University Philippines,,,,,,"Manila, Philippines",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-philippines,,Architecture,"Accounting and Finance, Business and Management",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering",,,"Medicine and Dentistry, Other Health",,Psychology,Communication and Media Studies,,,,,,Philippines,Manila,
2614,National University “Yuri Kondratyuk Poltava Polytechnic”,,,,,,"Poltava, Ukraine",,,,,,,,Reporter,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-yuri-kondratyuk-poltava-polytechnic,,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science",Other Health,"Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,"Communication and Media Studies, Politics and International Studies",,,,,,Ukraine,Poltava,
