0,1,2,3,4,5,6,7,8
=145,"University of Nottingham
United Kingdom",62.0,45.8,43.3,87.3,72.1,91.8,https://www.timeshighereducation.com/world-university-rankings/university-nottingham
=145,"University of Technology Sydney
Australia",62.0,36.8,42.6,94.1,88.7,92.9,https://www.timeshighereducation.com/world-university-rankings/university-technology-sydney
150,"Université de Montréal
Canada",61.9,41.4,50.5,83.1,95.5,84.1,https://www.timeshighereducation.com/world-university-rankings/universite-de-montreal
=151,"Texas A&M University
United States",61.8,52.5,57.2,73.4,73.5,63.2,https://www.timeshighereducation.com/world-university-rankings/texas-am-university
=151,"The University of Osaka
Japan",61.8,65.9,64.9,53.3,100.0,47.9,https://www.timeshighereducation.com/world-university-rankings/university-osaka
153,"The University of Western Australia
Australia",61.7,38.7,45.1,87.6,98.4,93.4,https://www.timeshighereducation.com/world-university-rankings/university-western-australia
=154,"Radboud University Nijmegen
Netherlands",61.5,38.5,49.7,89.3,82.1,75.9,https://www.timeshighereducation.com/world-university-rankings/radboud-university-nijmegen
=154,"University of York
United Kingdom",61.5,44.1,43.9,87.5,67.6,90.6,https://www.timeshighereducation.com/world-university-rankings/university-york
=156,"Korea University
South Korea",61.4,52.4,51.3,73.3,99.9,67.8,https://www.timeshighereducation.com/world-university-rankings/korea-university
=156,"University of Auckland
New Zealand",61.4,40.4,46.8,85.7,92.2,87.2,https://www.timeshighereducation.com/world-university-rankings/university-auckland
=156,"University of Pittsburgh-Pittsburgh campus
United States",61.4,49.2,43.3,92.0,76.8,49.4,https://www.timeshighereducation.com/world-university-rankings/university-pittsburgh-pittsburgh-campus
159,"University of Colorado Boulder
United States",61.3,47.5,51.6,84.1,77.3,53.6,https://www.timeshighereducation.com/world-university-rankings/university-colorado-boulder
=160,"Southern University of Science and Technology (SUSTech)
China",61.0,39.6,44.2,93.9,88.5,63.3,https://www.timeshighereducation.com/world-university-rankings/southern-university-science-and-technology-sustech
=160,"Technical University of Berlin
Germany",61.0,45.2,52.8,77.8,95.2,70.3,https://www.timeshighereducation.com/world-university-rankings/technical-university-berlin
=162,"University of St Andrews
United Kingdom",60.9,50.6,43.3,78.2,71.9,94.4,https://www.timeshighereducation.com/world-university-rankings/university-st-andrews
=162,"University of Waterloo
Canada",60.9,42.7,47.6,83.4,77.0,85.5,https://www.timeshighereducation.com/world-university-rankings/university-waterloo
=164,"University of Cape Town
South Africa",60.8,39.4,46.7,87.8,84.8,77.9,https://www.timeshighereducation.com/world-university-rankings/university-cape-town
=164,"University of Cologne
Germany",60.8,44.5,46.5,83.9,94.2,70.2,https://www.timeshighereducation.com/world-university-rankings/university-cologne
166,"Institute of Science Tokyo
Japan",60.7,66.9,60.5,52.7,92.1,52.2,https://www.timeshighereducation.com/world-university-rankings/institute-science-tokyo
=166,"Karlsruhe Institute of Technology
Germany",60.7,49.3,54.9,69.3,100.0,73.1,https://www.timeshighereducation.com/world-university-rankings/karlsruhe-institute-technology
=166,"Macquarie University
Australia",60.7,35.9,42.5,90.9,97.2,88.5,https://www.timeshighereducation.com/world-university-rankings/macquarie-university
=166,"University of Geneva
Switzerland",60.7,43.8,40.0,85.2,85.7,96.1,https://www.timeshighereducation.com/world-university-rankings/university-geneva
=166,"University of Virginia (Main campus)
United States",60.7,51.1,41.7,86.6,79.0,58.3,https://www.timeshighereducation.com/world-university-rankings/university-virginia-main-campus
=170,"Sapienza University of Rome
Italy",60.6,55.9,53.5,73.4,85.2,42.9,https://www.timeshighereducation.com/world-university-rankings/sapienza-university-rome
=170,"University of Antwerp
Belgium",60.6,38.9,44.3,89.6,98.5,73.4,https://www.timeshighereducation.com/world-university-rankings/university-antwerp
=170,"University of Exeter
United Kingdom",60.6,36.6,42.1,94.0,59.1,93.4,https://www.timeshighereducation.com/world-university-rankings/university-exeter
173,"Trinity College Dublin
Ireland",60.5,42.8,44.9,83.2,76.2,91.2,https://www.timeshighereducation.com/world-university-rankings/trinity-college-dublin
174,"TU Dresden
Germany",60.4,47.1,50.0,77.0,99.9,66.1,https://www.timeshighereducation.com/world-university-rankings/tu-dresden
175,"Durham University
United Kingdom",60.3,45.2,44.9,81.0,62.8,94.6,https://www.timeshighereducation.com/world-university-rankings/durham-university
=176,"Huazhong University of Science and Technology
China",60.2,46.6,48.4,87.1,99.9,30.9,https://www.timeshighereducation.com/world-university-rankings/huazhong-university-science-and-technology
=176,"Vrije Universiteit Amsterdam
Netherlands",60.2,37.7,41.8,91.8,77.5,84.3,https://www.timeshighereducation.com/world-university-rankings/vrije-universiteit-amsterdam
179,"University of Würzburg
Germany",60.1,39.6,43.5,91.2,99.8,59.9,https://www.timeshighereducation.com/world-university-rankings/university-wurzburg
180,"Dartmouth College
United States",60.0,56.3,38.5,81.8,72.8,63.8,https://www.timeshighereducation.com/world-university-rankings/dartmouth-college
=181,"Medical University of Vienna
Austria",59.9,36.3,36.8,94.2,99.9,83.2,https://www.timeshighereducation.com/world-university-rankings/medical-university-vienna
=181,"University of California, Santa Cruz
United States",59.9,38.3,41.7,93.2,75.7,73.5,https://www.timeshighereducation.com/world-university-rankings/university-california-santa-cruz
183,"Universitat Autònoma de Barcelona (UAB)
Spain",59.8,44.9,44.8,84.6,73.3,69.5,https://www.timeshighereducation.com/world-university-rankings/universitat-autonoma-de-barcelona-uab
=184,"King Fahd University of Petroleum and Minerals
Saudi Arabia",59.7,36.3,43.2,85.7,94.4,92.9,https://www.timeshighereducation.com/world-university-rankings/king-fahd-university-petroleum-and-minerals
=184,"Lancaster University
United Kingdom",59.7,40.9,40.8,86.7,67.2,95.1,https://www.timeshighereducation.com/world-university-rankings/lancaster-university
=184,"Université Catholique de Louvain
Belgium",59.7,40.0,47.7,80.7,95.2,80.3,https://www.timeshighereducation.com/world-university-rankings/universite-catholique-de-louvain
=187,"Pompeu Fabra University
Spain",59.5,36.6,45.3,87.5,81.6,80.1,https://www.timeshighereducation.com/world-university-rankings/pompeu-fabra-university
=187,"University of Ottawa
Canada",59.5,38.2,44.5,85.4,81.7,86.2,https://www.timeshighereducation.com/world-university-rankings/university-ottawa
189,"Tufts University
United States",59.4,51.3,34.7,88.2,76.6,61.9,https://www.timeshighereducation.com/world-university-rankings/tufts-university
=190,"Université Paris Cité
France",59.3,44.4,38.0,89.9,68.0,73.1,https://www.timeshighereducation.com/world-university-rankings/universite-paris-cite
=190,"University of Twente
Netherlands",59.3,45.7,45.0,73.0,98.9,92.4,https://www.timeshighereducation.com/world-university-rankings/university-twente
=192,"Eindhoven University of Technology
Netherlands",59.2,47.7,49.5,67.0,100.0,88.6,https://www.timeshighereducation.com/world-university-rankings/eindhoven-university-technology
=192,"University of Leicester
United Kingdom",59.2,35.4,34.9,95.9,69.0,94.8,https://www.timeshighereducation.com/world-university-rankings/university-leicester
